trial,D,W,ID,MT,error,subject_id,group_id,device
0,3.5,0.5,3.0588936890535683,1415.0562286376953,0,1,0,1
1,3.75,0.25,4.058893689053568,1244.2378997802734,1,1,0,1
2,1.75,0.25,3.0588936890535683,1056.8716526031494,1,1,0,1
3,12.0,4.0,2.0,799.9820709228516,0,1,0,1
4,11.25,0.75,4.016012317988631,997.145414352417,0,1,0,1
5,1.75,0.25,3.0588936890535683,998.2001781463624,0,1,0,1
6,9.0,3.0,2.0031882776310477,976.3500690460204,0,1,0,1
7,6.0,2.0,2.004800986263821,801.5127182006836,0,1,0,1
8,7.5,0.5,4.0636946753173895,1153.892993927002,0,1,0,1
9,14.0,2.0,3.009586048829198,910.9914302825928,0,1,0,1
10,3.75,0.25,4.058893689053568,1420.2194213867188,1,1,0,1
11,3.75,0.25,4.058893689053568,1195.2476501464844,1,1,0,1
12,12.0,4.0,2.0,714.09010887146,0,1,0,1
13,9.0,3.0,2.0031882776310477,918.6949729919434,0,1,0,1
14,15.0,1.0,4.026560826271135,1028.179407119751,0,1,0,1
15,3.0,1.0,2.019365324866931,980.4046154022216,0,1,0,1
16,15.0,1.0,4.026560826271135,1311.1093044281006,0,1,0,1
17,11.25,0.75,4.016012317988631,1241.417407989502,0,1,0,1
18,3.0,1.0,2.019365324866931,1039.6251678466797,0,1,0,1
19,7.0,1.0,3.0241663111307524,1258.1686973571775,0,1,0,1
20,7.0,1.0,3.0241663111307524,863.9516830444336,0,1,0,1
21,12.0,4.0,2.0,759.3543529510498,0,1,0,1
22,3.0,1.0,2.019365324866931,831.6240310668945,0,1,0,1
23,15.0,1.0,4.026560826271135,1425.5805015563965,0,1,0,1
24,6.0,2.0,2.004800986263821,741.4324283599854,0,1,0,1
25,7.5,0.5,4.0636946753173895,1039.0870571136477,0,1,0,1
26,6.0,2.0,2.004800986263821,761.084794998169,0,1,0,1
27,14.0,2.0,3.009586048829198,977.9784679412842,0,1,0,1
28,15.0,1.0,4.026560826271135,978.534698486328,0,1,0,1
29,3.75,0.25,4.058893689053568,1121.1588382720947,0,1,0,1
30,3.5,0.5,3.0588936890535683,1044.1370010375977,0,1,0,1
31,7.0,1.0,3.0241663111307524,1353.0244827270508,0,1,0,1
32,3.5,0.5,3.0588936890535683,1265.5839920043943,0,1,0,1
33,14.0,2.0,3.009586048829198,867.7937984466553,0,1,0,1
34,6.0,2.0,2.004800986263821,708.2326412200928,0,1,0,1
35,6.0,2.0,2.004800986263821,751.960039138794,0,1,0,1
36,1.75,0.25,3.0588936890535683,1422.041416168213,0,1,0,1
37,3.0,1.0,2.019365324866931,900.7854461669922,0,1,0,1
38,9.0,3.0,2.0031882776310477,775.8471965789795,0,1,0,1
39,14.0,2.0,3.009586048829198,793.0841445922852,0,1,0,1
40,11.25,0.75,4.016012317988631,1030.4744243621826,0,1,0,1
41,1.75,0.25,3.0588936890535683,875.7681846618652,0,1,0,1
42,15.0,1.0,4.026560826271135,1300.3582954406738,0,1,0,1
43,3.5,0.5,3.0588936890535683,833.8789939880371,0,1,0,1
44,11.25,0.75,4.016012317988631,1162.0337963104248,0,1,0,1
45,7.0,1.0,3.0241663111307524,1002.6843547821044,0,1,0,1
46,12.0,4.0,2.0,665.9133434295654,0,1,0,1
47,7.5,0.5,4.0636946753173895,1026.996612548828,0,1,0,1
48,7.5,0.5,4.0636946753173895,1115.1866912841797,0,1,0,1
49,7.5,0.5,4.0636946753173895,1225.959062576294,1,1,0,1
50,7.0,1.0,3.0241663111307524,873.2264041900635,0,1,0,1
51,11.25,0.75,4.016012317988631,936.0477924346924,0,1,0,1
52,9.0,3.0,2.0031882776310477,748.4462261199951,0,1,0,1
53,3.75,0.25,4.058893689053568,661.6106033325195,1,1,0,1
54,3.5,0.5,3.0588936890535683,859.5342636108398,0,1,0,1
55,1.75,0.25,3.0588936890535683,956.8467140197754,0,1,0,1
56,3.0,1.0,2.019365324866931,952.9628753662108,0,1,0,1
57,14.0,2.0,3.009586048829198,1166.008472442627,0,1,0,1
58,9.0,3.0,2.0031882776310477,635.4947090148926,0,1,0,1
59,12.0,4.0,2.0,600.8996963500977,0,1,0,1
0,3.75,0.25,4.058893689053568,631.4108371734619,1,1,0,0
1,9.0,3.0,2.0031882776310477,479.7697067260742,0,1,0,0
2,12.0,4.0,2.0,443.9699649810791,0,1,0,0
3,3.0,1.0,2.019365324866931,535.60471534729,1,1,0,0
4,3.5,0.5,3.0588936890535683,812.9351139068604,1,1,0,0
5,3.5,0.5,3.0588936890535683,601.172685623169,1,1,0,0
6,3.75,0.25,4.058893689053568,563.7800693511963,1,1,0,0
7,7.5,0.5,4.0636946753173895,566.6422843933105,1,1,0,0
8,3.5,0.5,3.0588936890535683,518.9659595489502,1,1,0,0
9,14.0,2.0,3.009586048829198,566.6637420654297,0,1,0,0
10,3.0,1.0,2.019365324866931,699.8996734619141,0,1,0,0
11,9.0,3.0,2.0031882776310477,497.194766998291,0,1,0,0
12,1.75,0.25,3.0588936890535683,594.5382118225098,1,1,0,0
13,3.0,1.0,2.019365324866931,597.0211029052734,0,1,0,0
14,1.75,0.25,3.0588936890535683,508.84509086608887,1,1,0,0
15,6.0,2.0,2.004800986263821,463.57250213623047,0,1,0,0
16,1.75,0.25,3.0588936890535683,505.9380531311035,1,1,0,0
17,12.0,4.0,2.0,486.38272285461426,0,1,0,0
18,11.25,0.75,4.016012317988631,577.7876377105713,0,1,0,0
19,3.0,1.0,2.019365324866931,568.2728290557861,0,1,0,0
20,11.25,0.75,4.016012317988631,486.3324165344238,1,1,0,0
21,7.0,1.0,3.0241663111307524,494.4911003112793,0,1,0,0
22,3.5,0.5,3.0588936890535683,517.51708984375,1,1,0,0
23,14.0,2.0,3.009586048829198,499.5908737182617,0,1,0,0
24,11.25,0.75,4.016012317988631,517.3969268798828,1,1,0,0
25,15.0,1.0,4.026560826271135,533.5333347320557,0,1,0,0
26,7.0,1.0,3.0241663111307524,491.7566776275635,0,1,0,0
27,12.0,4.0,2.0,477.9305458068848,0,1,0,0
28,14.0,2.0,3.009586048829198,563.0950927734375,0,1,0,0
29,12.0,4.0,2.0,431.40649795532227,0,1,0,0
30,3.75,0.25,4.058893689053568,598.79469871521,1,1,0,0
31,7.5,0.5,4.0636946753173895,465.5673503875733,1,1,0,0
32,9.0,3.0,2.0031882776310477,748.7266063690186,0,1,0,0
33,15.0,1.0,4.026560826271135,547.116756439209,0,1,0,0
34,15.0,1.0,4.026560826271135,466.28737449646,0,1,0,0
35,9.0,3.0,2.0031882776310477,467.99468994140625,0,1,0,0
36,3.0,1.0,2.019365324866931,503.8888454437256,0,1,0,0
37,7.0,1.0,3.0241663111307524,444.6179866790771,0,1,0,0
38,6.0,2.0,2.004800986263821,452.1462917327881,0,1,0,0
39,11.25,0.75,4.016012317988631,512.352705001831,1,1,0,0
40,7.0,1.0,3.0241663111307524,466.54415130615234,0,1,0,0
41,6.0,2.0,2.004800986263821,497.1256256103515,0,1,0,0
42,14.0,2.0,3.009586048829198,496.37627601623535,0,1,0,0
