subject_id,Subject Group,Age,Gender,Occupation,Handedness,trackpad_usage,touchscreen_usage,faster,more precise,easier to use,more tiring,more frustrating,general preference
1,1,24,male,student,left,1,1,2,2,0,1,0,1
2,2,22,male,student,right,2,2,2,2,2,1,1,2
3,1,22,male,student,left,1,4,2,1,2,1,1,2
4,2,23,male,student,right,2,4,2,1,1,2,2,1
5,1,22,male,student,right,1,3,2,1,2,1,1,2
6,2,24,male,student,right,2,4,2,1,1,1,1,2
7,1,25,male,student,right,4,4,2,1,2,1,1,2
8,2,24,female,student,right,1,4,2,1,2,2,1,1
9,1,22,male,student,right,1,4,2,1,2,1,1,2
10,2,25,male,electrician,right,2,4,2,1,2,1,0,2
11,1,25,female,pharmacist's assistant,right,3,4,2,2,2,1,1,2
12,2,25,male,student,right,1,3,2,2,2,1,1,1
