trial,D,W,ID,MT,error
0,264,37,3.0241663111307524,1524.2784023284912,0
1,453,151,2.0,584.7961902618408,1
2,283,18,4.0636946753173895,710.1402282714844,1
3,226,75,2.004800986263821,748.110294342041,1
4,132,18,3.0588936890535683,897.031307220459,1
5,340,113,2.0031882776310477,865.2873039245605,0
6,283,18,4.0636946753173895,844.7322845458984,1
7,141,9,4.058893689053568,1134.4361305236816,1
8,66,9,3.0588936890535683,969.8793888092041,1
9,283,18,4.0636946753173895,935.6379508972168,0
10,132,18,3.0588936890535683,945.0654983520508,0
11,132,18,3.0588936890535683,977.7438640594482,0
12,425,28,4.016012317988631,878.3106803894043,1
13,264,37,3.0241663111307524,1034.604787826538,0
14,566,37,4.026560826271135,1058.4821701049805,1
15,529,75,3.009586048829198,897.2282409667969,0
16,566,37,4.026560826271135,1132.321834564209,0
17,283,18,4.0636946753173895,863.6035919189453,1
18,529,75,3.009586048829198,784.3554019927979,0
19,425,28,4.016012317988631,1185.9183311462402,0
20,264,37,3.0241663111307524,698.2500553131104,0
21,113,37,2.019365324866931,657.8519344329834,0
22,340,113,2.0031882776310477,842.5214290618896,0
23,529,75,3.009586048829198,1028.991460800171,0
24,66,9,3.0588936890535683,1464.7150039672852,1
25,425,28,4.016012317988631,1243.6652183532715,0
26,453,151,2.0,1099.8828411102295,0
27,66,9,3.0588936890535683,1623.1215000152588,0
28,141,9,4.058893689053568,1161.2036228179932,1
29,141,9,4.058893689053568,1322.9079246520996,0
30,340,113,2.0031882776310477,794.1088676452637,0
31,113,37,2.019365324866931,999.9425411224365,1
32,264,37,3.0241663111307524,896.9123363494873,0
33,566,37,4.026560826271135,928.2898902893066,0
34,425,28,4.016012317988631,903.3951759338379,0
35,453,151,2.0,642.6956653594971,0
36,113,37,2.019365324866931,1173.9895343780518,0
37,264,37,3.0241663111307524,916.588306427002,0
38,566,37,4.026560826271135,1018.0609226226807,0
39,226,75,2.004800986263821,779.7813415527344,0
40,529,75,3.009586048829198,943.0577754974365,0
41,340,113,2.0031882776310477,1784.3787670135498,0
42,453,151,2.0,897.6807594299316,0
43,66,9,3.0588936890535683,1164.6831035614014,0
44,529,75,3.009586048829198,1077.4497985839844,0
45,132,18,3.0588936890535683,1097.224473953247,0
46,425,28,4.016012317988631,1016.7112350463867,1
47,226,75,2.004800986263821,944.7991847991943,0
48,132,18,3.0588936890535683,1102.4837493896484,0
49,566,37,4.026560826271135,992.5897121429443,1
50,141,9,4.058893689053568,1044.3642139434814,1
51,283,18,4.0636946753173895,1162.4221801757812,0
52,226,75,2.004800986263821,763.690710067749,0
53,453,151,2.0,658.4346294403076,0
54,113,37,2.019365324866931,1097.973108291626,0
55,226,75,2.004800986263821,709.0497016906738,0
56,340,113,2.0031882776310477,773.1986045837402,0
57,141,9,4.058893689053568,1406.5375328063965,0
58,66,9,3.0588936890535683,1176.7604351043701,0
59,113,37,2.019365324866931,1252.6633739471436,0
