trial,D,W,ID,MT,error
0,264,37,3.0241663111307524,1072.1361637115479,0
1,66,9,3.0588936890535683,1115.0908470153809,0
2,566,37,4.026560826271135,712.4297618865967,1
3,529,75,3.009586048829198,1036.4258289337158,0
4,283,18,4.0636946753173895,979.8917770385742,0
5,66,9,3.0588936890535683,952.6951313018799,0
6,529,75,3.009586048829198,746.9851970672607,0
7,113,37,2.019365324866931,762.2370719909668,0
8,113,37,2.019365324866931,659.254789352417,0
9,529,75,3.009586048829198,762.1116638183594,0
10,453,151,2.0,682.1551322937012,0
11,226,75,2.004800986263821,729.0792465209961,0
12,340,113,2.0031882776310477,702.9881477355957,0
13,340,113,2.0031882776310477,619.1253662109375,1
14,132,18,3.0588936890535683,293.6131954193115,1
15,453,151,2.0,975.5039215087891,0
16,66,9,3.0588936890535683,1317.6238536834717,1
17,340,113,2.0031882776310477,849.1554260253906,0
18,226,75,2.004800986263821,811.4194869995117,0
19,566,37,4.026560826271135,1493.786096572876,0
20,66,9,3.0588936890535683,976.2251377105713,1
21,425,28,4.016012317988631,1129.1472911834717,0
22,566,37,4.026560826271135,1007.493257522583,0
23,425,28,4.016012317988631,1053.9672374725342,1
24,566,37,4.026560826271135,1339.174509048462,0
25,132,18,3.0588936890535683,828.4146785736084,0
26,226,75,2.004800986263821,858.6437702178955,0
27,226,75,2.004800986263821,1368.7984943389893,0
28,113,37,2.019365324866931,827.5401592254639,0
29,141,9,4.058893689053568,766.8201923370361,0
30,283,18,4.0636946753173895,945.1291561126709,0
31,425,28,4.016012317988631,961.0896110534668,0
32,283,18,4.0636946753173895,930.9289455413818,0
33,226,75,2.004800986263821,613.0902767181396,0
34,264,37,3.0241663111307524,692.3954486846924,1
35,283,18,4.0636946753173895,1126.554012298584,0
36,566,37,4.026560826271135,809.9203109741211,0
37,141,9,4.058893689053568,954.517126083374,1
38,113,37,2.019365324866931,690.3960704803467,1
39,264,37,3.0241663111307524,759.7939968109131,1
40,113,37,2.019365324866931,662.6479625701904,0
41,264,37,3.0241663111307524,702.533483505249,0
42,132,18,3.0588936890535683,663.2120609283447,1
43,453,151,2.0,674.7148036956787,0
44,529,75,3.009586048829198,649.2264270782471,1
45,340,113,2.0031882776310477,629.9803256988525,0
46,425,28,4.016012317988631,833.3611488342285,1
47,283,18,4.0636946753173895,797.4810600280762,0
48,340,113,2.0031882776310477,563.042163848877,0
49,425,28,4.016012317988631,857.3038578033447,0
50,141,9,4.058893689053568,1017.9429054260254,0
51,132,18,3.0588936890535683,982.2065830230713,1
52,66,9,3.0588936890535683,1011.0921859741211,1
53,141,9,4.058893689053568,715.4514789581299,1
54,132,18,3.0588936890535683,942.5182342529297,0
55,453,151,2.0,577.3231983184814,0
56,453,151,2.0,554.3520450592041,0
57,529,75,3.009586048829198,628.2949447631836,1
58,264,37,3.0241663111307524,901.7932415008545,0
59,141,9,4.058893689053568,730.3867340087891,0
