trial,D,W,ID,MT,error
0,529,75,3.009586048829198,566.5090084075928,0
1,132,18,3.0588936890535683,595.1793193817139,1
2,283,18,4.0636946753173895,643.0683135986328,0
3,340,113,2.0031882776310477,460.768461227417,0
4,566,37,4.026560826271135,517.1737670898438,0
5,283,18,4.0636946753173895,580.1866054534912,1
6,340,113,2.0031882776310477,426.8310070037842,0
7,66,9,3.0588936890535683,698.6017227172852,1
8,66,9,3.0588936890535683,446.8958377838135,1
9,113,37,2.019365324866931,429.46839332580566,0
10,529,75,3.009586048829198,500.2937316894531,0
11,529,75,3.009586048829198,482.87510871887207,0
12,226,75,2.004800986263821,447.86787033081055,0
13,453,151,2.0,467.07606315612793,0
14,453,151,2.0,415.12227058410645,0
15,132,18,3.0588936890535683,516.1275863647461,0
16,425,28,4.016012317988631,414.8740768432617,1
17,340,113,2.0031882776310477,465.7244682312012,0
18,264,37,3.0241663111307524,1054.2902946472168,0
19,340,113,2.0031882776310477,469.8488712310791,0
20,113,37,2.019365324866931,416.94140434265137,1
21,264,37,3.0241663111307524,625.1561641693115,1
22,66,9,3.0588936890535683,596.2545871734619,1
23,529,75,3.009586048829198,582.9141139984131,0
24,425,28,4.016012317988631,531.8474769592285,1
25,566,37,4.026560826271135,730.2448749542236,0
26,425,28,4.016012317988631,596.8992710113525,1
27,113,37,2.019365324866931,502.7182102203369,0
28,141,9,4.058893689053568,613.0001544952393,1
29,453,151,2.0,450.91867446899414,0
30,425,28,4.016012317988631,468.4603214263916,0
31,226,75,2.004800986263821,728.8486957550049,0
32,66,9,3.0588936890535683,529.6995639801025,1
33,113,37,2.019365324866931,427.6878833770752,0
34,226,75,2.004800986263821,510.21289825439453,0
35,283,18,4.0636946753173895,547.1847057342529,0
36,283,18,4.0636946753173895,566.7524337768555,1
37,141,9,4.058893689053568,539.0172004699707,1
38,132,18,3.0588936890535683,487.14280128479004,1
39,113,37,2.019365324866931,487.9786968231201,0
40,453,151,2.0,614.4607067108154,0
41,566,37,4.026560826271135,867.3124313354492,0
42,264,37,3.0241663111307524,467.96226501464844,0
43,226,75,2.004800986263821,486.30499839782715,0
44,264,37,3.0241663111307524,563.2932186126709,0
45,264,37,3.0241663111307524,509.7808837890625,1
46,141,9,4.058893689053568,712.9099369049072,1
47,132,18,3.0588936890535683,612.8771305084229,0
48,141,9,4.058893689053568,583.6422443389893,1
49,132,18,3.0588936890535683,534.7201824188232,1
50,529,75,3.009586048829198,599.8656749725342,0
51,566,37,4.026560826271135,739.6876811981201,1
52,226,75,2.004800986263821,498.671293258667,0
53,453,151,2.0,483.339786529541,0
54,141,9,4.058893689053568,626.6324520111084,1
55,425,28,4.016012317988631,794.7862148284912,1
56,340,113,2.0031882776310477,517.9829597473145,0
57,283,18,4.0636946753173895,683.222770690918,1
58,566,37,4.026560826271135,715.7876491546631,0
59,66,9,3.0588936890535683,633.2352161407471,1
