trial,D,W,ID,MT,error
0,425,28,4.016012317988631,1001.7702579498291,1
1,226,75,2.004800986263821,640.4409408569336,0
2,340,113,2.0031882776310477,648.5733985900879,0
3,132,18,3.0588936890535683,659.4538688659668,1
4,66,9,3.0588936890535683,669.1737174987793,0
5,113,37,2.019365324866931,597.7578163146973,0
6,529,75,3.009586048829198,1178.1957149505615,0
7,453,151,2.0,1265.915870666504,0
8,226,75,2.004800986263821,629.9471855163574,0
9,264,37,3.0241663111307524,1392.838954925537,0
10,141,9,4.058893689053568,688.3955001831055,1
11,113,37,2.019365324866931,548.0279922485352,0
12,66,9,3.0588936890535683,562.6873970031738,0
13,132,18,3.0588936890535683,803.9991855621338,1
14,566,37,4.026560826271135,960.5519771575928,0
15,113,37,2.019365324866931,812.5386238098145,0
16,226,75,2.004800986263821,565.4430389404297,0
17,283,18,4.0636946753173895,692.3706531524658,0
18,141,9,4.058893689053568,799.1940975189209,1
19,132,18,3.0588936890535683,650.057315826416,0
20,340,113,2.0031882776310477,629.1642189025879,0
21,425,28,4.016012317988631,1151.4370441436768,0
22,141,9,4.058893689053568,1446.662425994873,1
23,340,113,2.0031882776310477,644.9904441833496,0
24,113,37,2.019365324866931,652.599573135376,0
25,566,37,4.026560826271135,1130.6686401367188,0
26,340,113,2.0031882776310477,697.8182792663574,0
27,283,18,4.0636946753173895,1130.7382583618164,0
28,529,75,3.009586048829198,897.4108695983887,0
29,141,9,4.058893689053568,684.6985816955566,1
30,226,75,2.004800986263821,499.0875720977783,0
31,340,113,2.0031882776310477,616.7201995849609,0
32,566,37,4.026560826271135,969.9254035949707,0
33,264,37,3.0241663111307524,626.5170574188232,0
34,453,151,2.0,681.5035343170166,0
35,132,18,3.0588936890535683,794.6114540100098,1
36,66,9,3.0588936890535683,681.8816661834717,1
37,264,37,3.0241663111307524,694.634199142456,1
38,283,18,4.0636946753173895,613.3968830108643,1
39,66,9,3.0588936890535683,780.9145450592041,1
40,283,18,4.0636946753173895,765.568733215332,1
41,264,37,3.0241663111307524,697.6783275604248,1
42,425,28,4.016012317988631,776.6821384429932,0
43,283,18,4.0636946753173895,703.16481590271,1
44,529,75,3.009586048829198,764.3146514892578,0
45,425,28,4.016012317988631,828.8273811340332,0
46,453,151,2.0,517.61794090271,0
47,529,75,3.009586048829198,719.40016746521,0
48,566,37,4.026560826271135,675.2066612243652,0
49,529,75,3.009586048829198,1033.3783626556396,0
50,226,75,2.004800986263821,666.7892932891846,0
51,141,9,4.058893689053568,834.345817565918,1
52,132,18,3.0588936890535683,551.722526550293,1
53,453,151,2.0,666.1989688873291,0
54,113,37,2.019365324866931,665.4517650604248,1
55,453,151,2.0,577.0893096923828,0
56,264,37,3.0241663111307524,697.6847648620605,1
57,66,9,3.0588936890535683,564.5091533660889,1
58,425,28,4.016012317988631,748.0564117431641,0
59,566,37,4.026560826271135,765.6705379486084,1
