trial,D,W,ID,MT,error
0,66,9,3.0588936890535683,1914.0048027038574,1
1,283,18,4.0636946753173895,976.6402244567871,0
2,425,28,4.016012317988631,952.1818161010742,1
3,453,151,2.0,778.7079811096191,0
4,226,75,2.004800986263821,761.8050575256348,0
5,66,9,3.0588936890535683,788.9258861541748,1
6,340,113,2.0031882776310477,729.8011779785156,1
7,132,18,3.0588936890535683,1039.6146774291992,1
8,453,151,2.0,730.0777435302734,0
9,132,18,3.0588936890535683,1279.4909477233887,0
10,340,113,2.0031882776310477,1121.9210624694824,0
11,529,75,3.009586048829198,912.0652675628662,0
12,141,9,4.058893689053568,963.6402130126953,0
13,226,75,2.004800986263821,703.3097743988037,0
14,141,9,4.058893689053568,1277.909755706787,0
15,113,37,2.019365324866931,1054.1322231292725,1
16,529,75,3.009586048829198,794.5663928985596,0
17,264,37,3.0241663111307524,812.9823207855225,0
18,264,37,3.0241663111307524,796.3593006134033,0
19,132,18,3.0588936890535683,825.8373737335205,0
20,340,113,2.0031882776310477,701.6561031341553,0
21,340,113,2.0031882776310477,683.7954521179199,0
22,529,75,3.009586048829198,881.7298412322998,0
23,453,151,2.0,678.8656711578369,0
24,264,37,3.0241663111307524,834.9578380584717,0
25,113,37,2.019365324866931,699.1457939147949,0
26,132,18,3.0588936890535683,1031.2607288360596,0
27,113,37,2.019365324866931,760.8547210693359,1
28,453,151,2.0,679.2750358581543,0
29,66,9,3.0588936890535683,1206.9542407989502,1
30,141,9,4.058893689053568,2110.2850437164307,0
31,226,75,2.004800986263821,794.6240901947021,0
32,566,37,4.026560826271135,941.9386386871338,0
33,264,37,3.0241663111307524,929.4631481170654,0
34,132,18,3.0588936890535683,1165.0331020355225,0
35,141,9,4.058893689053568,1050.621509552002,0
36,566,37,4.026560826271135,949.596643447876,0
37,283,18,4.0636946753173895,1151.6311168670654,1
38,66,9,3.0588936890535683,1020.6723213195801,0
39,113,37,2.019365324866931,668.6387062072754,0
40,566,37,4.026560826271135,941.3790702819824,0
41,566,37,4.026560826271135,1032.2887897491455,1
42,529,75,3.009586048829198,930.9196472167969,0
43,283,18,4.0636946753173895,1155.4031372070312,0
44,340,113,2.0031882776310477,770.2643871307373,0
45,283,18,4.0636946753173895,1036.6301536560059,0
46,425,28,4.016012317988631,997.8389739990234,0
47,66,9,3.0588936890535683,914.212703704834,0
48,113,37,2.019365324866931,629.3580532073975,1
49,264,37,3.0241663111307524,778.0985832214355,0
50,453,151,2.0,715.1134014129639,0
51,529,75,3.009586048829198,823.3668804168701,0
52,226,75,2.004800986263821,645.7962989807129,0
53,226,75,2.004800986263821,634.326696395874,0
54,425,28,4.016012317988631,1025.0678062438965,0
55,283,18,4.0636946753173895,963.1650447845459,0
56,425,28,4.016012317988631,991.3458824157715,0
57,425,28,4.016012317988631,973.2649326324463,1
58,566,37,4.026560826271135,931.3275814056396,1
59,141,9,4.058893689053568,1316.0104751586914,0
