trial,D,W,ID,MT,error
0,283,18,4.0636946753173895,510.27584075927734,1
1,566,37,4.026560826271135,634.17649269104,0
2,453,151,2.0,549.3929386138916,0
3,264,37,3.0241663111307524,591.6364192962646,0
4,132,18,3.0588936890535683,644.824743270874,1
5,113,37,2.019365324866931,599.2996692657471,0
6,141,9,4.058893689053568,659.9769592285156,0
7,340,113,2.0031882776310477,583.1425189971924,0
8,283,18,4.0636946753173895,664.1495227813721,1
9,132,18,3.0588936890535683,586.0550403594971,0
10,529,75,3.009586048829198,627.5851726531982,0
11,425,28,4.016012317988631,661.3912582397461,0
12,283,18,4.0636946753173895,703.1459808349609,0
13,66,9,3.0588936890535683,685.467004776001,1
14,340,113,2.0031882776310477,584.3856334686279,0
15,425,28,4.016012317988631,765.6650543212891,0
16,226,75,2.004800986263821,486.3603115081787,0
17,453,151,2.0,503.00145149230957,0
18,141,9,4.058893689053568,598.4749794006348,1
19,264,37,3.0241663111307524,634.8376274108887,1
20,264,37,3.0241663111307524,642.7898406982422,0
21,264,37,3.0241663111307524,627.8407573699951,0
22,340,113,2.0031882776310477,519.3986892700195,0
23,566,37,4.026560826271135,632.7939033508301,0
24,226,75,2.004800986263821,633.2347393035889,0
25,132,18,3.0588936890535683,667.2706604003906,1
26,425,28,4.016012317988631,1066.195011138916,0
27,340,113,2.0031882776310477,652.2216796875,0
28,425,28,4.016012317988631,697.1304416656494,0
29,453,151,2.0,565.6704902648926,0
30,340,113,2.0031882776310477,585.0026607513428,0
31,132,18,3.0588936890535683,681.1254024505615,1
32,141,9,4.058893689053568,650.6848335266113,0
33,113,37,2.019365324866931,582.7281475067139,0
34,141,9,4.058893689053568,668.325662612915,1
35,529,75,3.009586048829198,633.049726486206,0
36,66,9,3.0588936890535683,733.5355281829834,1
37,66,9,3.0588936890535683,606.5099239349365,1
38,566,37,4.026560826271135,352.60510444641113,1
39,425,28,4.016012317988631,907.4883460998535,0
40,283,18,4.0636946753173895,666.6297912597656,1
41,113,37,2.019365324866931,650.3684520721436,0
42,529,75,3.009586048829198,697.807788848877,0
43,226,75,2.004800986263821,535.2449417114258,0
44,66,9,3.0588936890535683,733.3643436431885,1
45,566,37,4.026560826271135,800.8224964141846,0
46,529,75,3.009586048829198,813.7540817260742,0
47,113,37,2.019365324866931,735.5263233184814,0
48,283,18,4.0636946753173895,715.8350944519043,0
49,113,37,2.019365324866931,639.9881839752197,0
50,566,37,4.026560826271135,743.6835765838623,0
51,132,18,3.0588936890535683,712.8221988677979,1
52,141,9,4.058893689053568,671.306848526001,1
53,264,37,3.0241663111307524,754.2271614074707,0
54,529,75,3.009586048829198,675.6980419158936,0
55,453,151,2.0,620.2142238616943,0
56,66,9,3.0588936890535683,1098.7217426300049,1
57,453,151,2.0,567.3530101776123,0
58,226,75,2.004800986263821,683.1150054931641,0
59,226,75,2.004800986263821,632.4937343597412,0
