trial,D,W,ID,MT,error
0,113,37,2.019365324866931,835.8292579650879,0
1,66,9,3.0588936890535683,674.5386123657227,1
2,566,37,4.026560826271135,379.7421455383301,1
3,66,9,3.0588936890535683,1543.663740158081,0
4,132,18,3.0588936890535683,1372.4820613861084,0
5,425,28,4.016012317988631,1060.7624053955078,1
6,66,9,3.0588936890535683,1340.4898643493652,0
7,425,28,4.016012317988631,827.610969543457,0
8,226,75,2.004800986263821,631.0691833496094,0
9,340,113,2.0031882776310477,780.0028324127197,0
10,529,75,3.009586048829198,1043.0338382720947,0
11,425,28,4.016012317988631,914.5340919494629,0
12,66,9,3.0588936890535683,1177.616834640503,0
13,141,9,4.058893689053568,1729.3391227722168,0
14,264,37,3.0241663111307524,796.9093322753906,0
15,529,75,3.009586048829198,741.3997650146484,0
16,283,18,4.0636946753173895,1106.3010692596436,0
17,529,75,3.009586048829198,959.7072601318359,0
18,141,9,4.058893689053568,1165.410041809082,0
19,566,37,4.026560826271135,1038.7747287750244,0
20,226,75,2.004800986263821,655.0145149230957,0
21,226,75,2.004800986263821,1013.5083198547363,0
22,453,151,2.0,713.8996124267578,0
23,113,37,2.019365324866931,716.5989875793457,1
24,132,18,3.0588936890535683,847.8085994720459,0
25,226,75,2.004800986263821,866.1160469055176,0
26,340,113,2.0031882776310477,770.1959609985352,0
27,141,9,4.058893689053568,1019.6185111999512,0
28,340,113,2.0031882776310477,832.0491313934326,0
29,264,37,3.0241663111307524,1008.7244510650635,0
30,113,37,2.019365324866931,1001.8563270568848,0
31,132,18,3.0588936890535683,1312.0574951171875,0
32,453,151,2.0,599.7488498687744,0
33,453,151,2.0,795.7057952880859,0
34,566,37,4.026560826271135,1078.4871578216553,0
35,453,151,2.0,662.0779037475586,0
36,283,18,4.0636946753173895,1085.5677127838135,0
37,566,37,4.026560826271135,1195.786952972412,0
38,264,37,3.0241663111307524,945.1494216918945,0
39,566,37,4.026560826271135,971.5821743011475,0
40,66,9,3.0588936890535683,1263.0956172943115,0
41,264,37,3.0241663111307524,1056.8583011627197,1
42,283,18,4.0636946753173895,1118.360996246338,0
43,529,75,3.009586048829198,833.2924842834473,0
44,132,18,3.0588936890535683,992.47145652771,0
45,425,28,4.016012317988631,879.2505264282227,0
46,283,18,4.0636946753173895,943.9616203308105,0
47,340,113,2.0031882776310477,685.4021549224854,0
48,340,113,2.0031882776310477,759.8588466644287,0
49,453,151,2.0,674.241304397583,0
50,529,75,3.009586048829198,753.1657218933105,0
51,264,37,3.0241663111307524,806.4124584197998,0
52,113,37,2.019365324866931,1416.1310195922852,0
53,283,18,4.0636946753173895,1158.0770015716553,1
54,141,9,4.058893689053568,1478.492021560669,0
55,226,75,2.004800986263821,725.3379821777344,0
56,425,28,4.016012317988631,947.3721981048584,0
57,141,9,4.058893689053568,944.0820217132568,0
58,113,37,2.019365324866931,978.8243770599365,0
59,132,18,3.0588936890535683,909.2867374420166,0
