trial,D,W,ID,MT,error
0,453,151,2.0,1240.0038242340088,0
1,66,9,3.0588936890535683,1558.3412647247314,1
2,529,75,3.009586048829198,1537.8808975219727,0
3,529,75,3.009586048829198,1042.140245437622,0
4,283,18,4.0636946753173895,1869.2691326141357,0
5,453,151,2.0,817.0337677001953,0
6,66,9,3.0588936890535683,1331.4061164855957,0
7,425,28,4.016012317988631,1305.9251308441162,0
8,340,113,2.0031882776310477,817.1765804290771,0
9,425,28,4.016012317988631,1103.8827896118164,0
10,264,37,3.0241663111307524,1815.9866333007812,0
11,283,18,4.0636946753173895,1535.97092628479,0
12,132,18,3.0588936890535683,1508.3763599395752,0
13,529,75,3.009586048829198,958.5516452789307,0
14,226,75,2.004800986263821,801.1839389801025,0
15,566,37,4.026560826271135,1124.459981918335,0
16,529,75,3.009586048829198,1124.359369277954,0
17,132,18,3.0588936890535683,1239.5453453063965,0
18,340,113,2.0031882776310477,1141.937017440796,0
19,425,28,4.016012317988631,1152.7771949768066,0
20,566,37,4.026560826271135,1321.6807842254639,1
21,340,113,2.0031882776310477,915.9765243530273,0
22,283,18,4.0636946753173895,1239.9704456329346,0
23,226,75,2.004800986263821,755.1195621490479,0
24,113,37,2.019365324866931,864.1488552093506,0
25,425,28,4.016012317988631,997.5934028625488,0
26,340,113,2.0031882776310477,830.9788703918457,0
27,66,9,3.0588936890535683,1121.6835975646973,0
28,141,9,4.058893689053568,1113.4164333343506,0
29,132,18,3.0588936890535683,1271.8801498413086,0
30,226,75,2.004800986263821,846.3668823242188,0
31,453,151,2.0,649.7652530670166,0
32,453,151,2.0,841.9210910797119,0
33,283,18,4.0636946753173895,1168.3335304260254,0
34,113,37,2.019365324866931,875.6186962127686,0
35,141,9,4.058893689053568,1374.0088939666748,0
36,264,37,3.0241663111307524,1073.5492706298828,0
37,529,75,3.009586048829198,1037.55521774292,0
38,226,75,2.004800986263821,745.8033561706543,0
39,264,37,3.0241663111307524,941.1637783050537,1
40,132,18,3.0588936890535683,1229.6524047851562,0
41,113,37,2.019365324866931,980.762243270874,1
42,66,9,3.0588936890535683,1214.7407531738281,0
43,340,113,2.0031882776310477,1017.4338817596436,0
44,264,37,3.0241663111307524,993.938684463501,0
45,141,9,4.058893689053568,1536.573886871338,1
46,264,37,3.0241663111307524,1037.0182991027832,0
47,283,18,4.0636946753173895,1137.8190517425537,0
48,453,151,2.0,782.0897102355957,0
49,566,37,4.026560826271135,1166.1105155944824,0
50,113,37,2.019365324866931,697.0677375793457,0
51,141,9,4.058893689053568,1038.9072895050049,1
52,566,37,4.026560826271135,1258.864402770996,0
53,141,9,4.058893689053568,1330.0392627716064,1
54,66,9,3.0588936890535683,1102.8928756713867,0
55,113,37,2.019365324866931,880.2380561828613,0
56,132,18,3.0588936890535683,915.3814315795898,0
57,566,37,4.026560826271135,893.601655960083,0
58,226,75,2.004800986263821,807.7054023742676,0
59,425,28,4.016012317988631,747.7900981903076,1
