trial,D,W,ID,MT,error
0,141,9,4.058893689053568,631.4108371734619,1
1,340,113,2.0031882776310477,479.7697067260742,0
2,453,151,2.0,443.9699649810791,0
3,113,37,2.019365324866931,535.60471534729,1
4,132,18,3.0588936890535683,812.9351139068604,1
5,132,18,3.0588936890535683,601.172685623169,1
6,141,9,4.058893689053568,563.7800693511963,1
7,283,18,4.0636946753173895,566.6422843933105,1
8,132,18,3.0588936890535683,518.9659595489502,1
9,529,75,3.009586048829198,566.6637420654297,0
10,113,37,2.019365324866931,699.8996734619141,0
11,340,113,2.0031882776310477,497.194766998291,0
12,66,9,3.0588936890535683,594.5382118225098,1
13,113,37,2.019365324866931,597.0211029052734,0
14,66,9,3.0588936890535683,508.84509086608887,1
15,226,75,2.004800986263821,463.57250213623047,0
16,66,9,3.0588936890535683,505.9380531311035,1
17,453,151,2.0,486.38272285461426,0
18,425,28,4.016012317988631,577.7876377105713,0
19,113,37,2.019365324866931,568.2728290557861,0
20,425,28,4.016012317988631,486.3324165344238,1
21,264,37,3.0241663111307524,494.4911003112793,0
22,132,18,3.0588936890535683,517.51708984375,1
23,529,75,3.009586048829198,499.5908737182617,0
24,425,28,4.016012317988631,517.3969268798828,1
25,566,37,4.026560826271135,533.5333347320557,0
26,264,37,3.0241663111307524,491.7566776275635,0
27,453,151,2.0,477.93054580688477,0
28,529,75,3.009586048829198,563.0950927734375,0
29,453,151,2.0,431.40649795532227,0
30,141,9,4.058893689053568,598.79469871521,1
31,283,18,4.0636946753173895,465.56735038757324,1
32,340,113,2.0031882776310477,748.7266063690186,0
33,566,37,4.026560826271135,547.116756439209,0
34,566,37,4.026560826271135,466.28737449645996,0
35,340,113,2.0031882776310477,467.99468994140625,0
36,113,37,2.019365324866931,503.8888454437256,0
37,264,37,3.0241663111307524,444.61798667907715,0
38,226,75,2.004800986263821,452.1462917327881,0
39,425,28,4.016012317988631,512.352705001831,1
40,264,37,3.0241663111307524,466.54415130615234,0
41,226,75,2.004800986263821,497.12562561035156,0
42,529,75,3.009586048829198,496.37627601623535,0
43,566,37,4.026560826271135,564.5754337310791,0
44,283,18,4.0636946753173895,548.1133460998535,1
45,66,9,3.0588936890535683,588.0355834960938,1
46,453,151,2.0,515.6857967376709,0
47,340,113,2.0031882776310477,529.8745632171631,0
48,529,75,3.009586048829198,450.18577575683594,0
49,283,18,4.0636946753173895,621.7873096466064,1
50,264,37,3.0241663111307524,463.22154998779297,0
51,566,37,4.026560826271135,666.9065952301025,0
52,132,18,3.0588936890535683,580.796480178833,1
53,141,9,4.058893689053568,482.4812412261963,1
54,226,75,2.004800986263821,612.8039360046387,0
55,226,75,2.004800986263821,484.67493057250977,0
56,283,18,4.0636946753173895,516.3986682891846,1
57,141,9,4.058893689053568,564.1746520996094,1
58,425,28,4.016012317988631,446.5792179107666,0
59,66,9,3.0588936890535683,846.4107513427734,0
