trial,D,W,ID,MT,error
0,283,18,4.0636946753173895,613.4603023529053,0
1,529,75,3.009586048829198,524.0888595581055,0
2,340,113,2.0031882776310477,532.8619480133057,0
3,113,37,2.019365324866931,563.7176036834717,1
4,340,113,2.0031882776310477,416.7313575744629,0
5,425,28,4.016012317988631,454.4990062713623,1
6,141,9,4.058893689053568,547.64723777771,1
7,132,18,3.0588936890535683,502.5637149810791,1
8,226,75,2.004800986263821,465.8842086791992,0
9,141,9,4.058893689053568,484.4343662261963,1
10,453,151,2.0,432.3709011077881,0
11,113,37,2.019365324866931,416.8097972869873,1
12,283,18,4.0636946753173895,426.7995357513428,1
13,132,18,3.0588936890535683,447.7536678314209,1
14,141,9,4.058893689053568,524.9879360198975,1
15,453,151,2.0,488.05856704711914,0
16,340,113,2.0031882776310477,499.265193939209,0
17,264,37,3.0241663111307524,399.045467376709,0
18,66,9,3.0588936890535683,431.51402473449707,1
19,529,75,3.009586048829198,514.7271156311035,0
20,566,37,4.026560826271135,665.5638217926025,0
21,340,113,2.0031882776310477,513.9133930206299,0
22,566,37,4.026560826271135,534.705638885498,0
23,66,9,3.0588936890535683,496.07396125793457,1
24,66,9,3.0588936890535683,480.18741607666016,1
25,113,37,2.019365324866931,466.3887023925781,1
26,425,28,4.016012317988631,532.6783657073975,0
27,566,37,4.026560826271135,599.9782085418701,1
28,226,75,2.004800986263821,448.72474670410156,0
29,283,18,4.0636946753173895,482.41138458251953,1
30,425,28,4.016012317988631,518.3126926422119,0
31,132,18,3.0588936890535683,498.95429611206055,1
32,264,37,3.0241663111307524,498.492956161499,1
33,566,37,4.026560826271135,598.9127159118652,1
34,529,75,3.009586048829198,448.37355613708496,0
35,453,151,2.0,512.094259262085,0
36,113,37,2.019365324866931,743.1585788726807,1
37,132,18,3.0588936890535683,481.43506050109863,1
38,529,75,3.009586048829198,570.7545280456543,0
39,66,9,3.0588936890535683,533.332347869873,1
40,264,37,3.0241663111307524,577.7337551116943,1
41,141,9,4.058893689053568,600.6796360015869,1
42,113,37,2.019365324866931,547.6381778717041,1
43,566,37,4.026560826271135,583.3165645599365,1
44,453,151,2.0,478.0876636505127,0
45,283,18,4.0636946753173895,543.6491966247559,1
46,226,75,2.004800986263821,681.8211078643799,0
47,264,37,3.0241663111307524,485.6092929840088,1
48,529,75,3.009586048829198,510.54930686950684,0
49,340,113,2.0031882776310477,368.7460422515869,0
50,66,9,3.0588936890535683,492.5076961517334,1
51,226,75,2.004800986263821,548.40087890625,0
52,425,28,4.016012317988631,846.3208675384521,1
53,226,75,2.004800986263821,401.32641792297363,0
54,264,37,3.0241663111307524,615.485429763794,1
55,132,18,3.0588936890535683,380.46717643737793,1
56,425,28,4.016012317988631,498.93879890441895,1
57,283,18,4.0636946753173895,398.38480949401855,1
58,453,151,2.0,437.5886917114258,0
59,141,9,4.058893689053568,528.4180641174316,1
