trial,D,W,ID,MT,error
0,283,18,4.0636946753173895,697.8335380554199,0
1,66,9,3.0588936890535683,531.0072898864746,1
2,453,151,2.0,611.6664409637451,0
3,340,113,2.0031882776310477,433.34174156188965,0
4,141,9,4.058893689053568,650.3462791442871,1
5,340,113,2.0031882776310477,458.8160514831543,0
6,425,28,4.016012317988631,612.3960018157959,0
7,283,18,4.0636946753173895,645.9662914276123,0
8,264,37,3.0241663111307524,499.1929531097412,0
9,566,37,4.026560826271135,564.0206336975098,0
10,66,9,3.0588936890535683,765.6419277191162,1
11,529,75,3.009586048829198,450.6232738494873,0
12,529,75,3.009586048829198,480.9379577636719,0
13,132,18,3.0588936890535683,635.9117031097412,1
14,66,9,3.0588936890535683,579.0445804595947,1
15,340,113,2.0031882776310477,458.8940143585205,0
16,566,37,4.026560826271135,582.036018371582,0
17,113,37,2.019365324866931,700.2313137054443,0
18,66,9,3.0588936890535683,898.9975452423096,1
19,340,113,2.0031882776310477,393.82028579711914,0
20,529,75,3.009586048829198,562.6492500305176,0
21,529,75,3.009586048829198,409.2082977294922,0
22,113,37,2.019365324866931,668.0324077606201,0
23,264,37,3.0241663111307524,430.2997589111328,0
24,226,75,2.004800986263821,492.6128387451172,0
25,226,75,2.004800986263821,428.1778335571289,0
26,340,113,2.0031882776310477,478.34157943725586,0
27,566,37,4.026560826271135,498.90875816345215,1
28,566,37,4.026560826271135,465.6696319580078,1
29,226,75,2.004800986263821,533.6651802062988,0
30,66,9,3.0588936890535683,522.8853225708008,1
31,141,9,4.058893689053568,499.0971088409424,1
32,226,75,2.004800986263821,430.7515621185303,0
33,264,37,3.0241663111307524,497.6041316986084,0
34,226,75,2.004800986263821,432.2943687438965,0
35,453,151,2.0,482.81025886535645,0
36,132,18,3.0588936890535683,467.7739143371582,1
37,132,18,3.0588936890535683,634.0715885162354,1
38,113,37,2.019365324866931,464.37907218933105,0
39,264,37,3.0241663111307524,495.955228805542,0
40,425,28,4.016012317988631,487.9021644592285,1
41,425,28,4.016012317988631,532.9363346099854,0
42,264,37,3.0241663111307524,705.298900604248,1
43,283,18,4.0636946753173895,566.7974948883057,1
44,141,9,4.058893689053568,811.6319179534912,1
45,141,9,4.058893689053568,541.6650772094727,1
46,425,28,4.016012317988631,668.8058376312256,1
47,453,151,2.0,448.9321708679199,0
48,132,18,3.0588936890535683,450.1814842224121,1
49,113,37,2.019365324866931,508.4664821624756,0
50,141,9,4.058893689053568,533.4675312042236,1
51,529,75,3.009586048829198,469.5286750793457,0
52,113,37,2.019365324866931,403.23328971862793,1
53,132,18,3.0588936890535683,431.7786693572998,1
54,283,18,4.0636946753173895,496.5240955352783,1
55,453,151,2.0,533.1950187683105,0
56,425,28,4.016012317988631,450.02079010009766,0
57,566,37,4.026560826271135,530.4811000823975,0
58,283,18,4.0636946753173895,694.3559646606445,1
59,453,151,2.0,536.2548828125,0
