trial,D,W,ID,MT,error
0,340,113,2.0031882776310477,563.4784698486328,0
1,66,9,3.0588936890535683,433.1512451171875,1
2,453,151,2.0,499.7215270996094,0
3,425,28,4.016012317988631,566.3535594940186,1
4,226,75,2.004800986263821,802.3867607116699,0
5,141,9,4.058893689053568,559.4663619995117,0
6,566,37,4.026560826271135,555.1950931549072,0
7,113,37,2.019365324866931,466.72630310058594,0
8,141,9,4.058893689053568,612.4169826507568,1
9,340,113,2.0031882776310477,552.6041984558105,0
10,529,75,3.009586048829198,517.7531242370605,0
11,66,9,3.0588936890535683,527.6484489440918,1
12,340,113,2.0031882776310477,445.72973251342773,0
13,264,37,3.0241663111307524,688.8835430145264,1
14,425,28,4.016012317988631,446.07043266296387,1
15,226,75,2.004800986263821,447.4153518676758,0
16,132,18,3.0588936890535683,483.4170341491699,1
17,66,9,3.0588936890535683,662.5757217407227,1
18,425,28,4.016012317988631,535.2537631988525,1
19,141,9,4.058893689053568,847.7249145507812,1
20,66,9,3.0588936890535683,588.860273361206,1
21,340,113,2.0031882776310477,536.4823341369629,0
22,226,75,2.004800986263821,410.4349613189697,0
23,113,37,2.019365324866931,461.2858295440674,1
24,141,9,4.058893689053568,463.803768157959,1
25,283,18,4.0636946753173895,564.4123554229736,0
26,453,151,2.0,485.1958751678467,0
27,264,37,3.0241663111307524,546.9014644622803,0
28,113,37,2.019365324866931,500.0607967376709,1
29,425,28,4.016012317988631,602.6315689086914,0
30,113,37,2.019365324866931,500.8726119995117,0
31,340,113,2.0031882776310477,444.55647468566895,0
32,132,18,3.0588936890535683,529.0026664733887,0
33,141,9,4.058893689053568,485.31484603881836,1
34,66,9,3.0588936890535683,467.8497314453125,1
35,425,28,4.016012317988631,709.0499401092529,1
36,113,37,2.019365324866931,613.652229309082,0
37,226,75,2.004800986263821,462.7566337585449,0
38,283,18,4.0636946753173895,463.878870010376,1
39,283,18,4.0636946753173895,574.3489265441895,1
40,283,18,4.0636946753173895,594.9141979217529,1
41,529,75,3.009586048829198,587.3916149139404,0
42,283,18,4.0636946753173895,465.26598930358887,1
43,264,37,3.0241663111307524,534.8451137542725,0
44,529,75,3.009586048829198,545.1304912567139,0
45,529,75,3.009586048829198,498.82960319519043,0
46,132,18,3.0588936890535683,482.51843452453613,0
47,453,151,2.0,498.75545501708984,0
48,453,151,2.0,513.5025978088379,0
49,132,18,3.0588936890535683,718.3575630187988,0
50,264,37,3.0241663111307524,575.735330581665,0
51,566,37,4.026560826271135,666.7497158050537,1
52,226,75,2.004800986263821,503.79180908203125,0
53,529,75,3.009586048829198,598.6769199371338,0
54,132,18,3.0588936890535683,579.0743827819824,1
55,566,37,4.026560826271135,519.597053527832,1
56,453,151,2.0,480.99279403686523,0
57,566,37,4.026560826271135,644.3674564361572,0
58,264,37,3.0241663111307524,578.5212516784668,0
59,566,37,4.026560826271135,600.5382537841797,0
