trial,D,W,ID,MT,error
0,113,37,2.019365324866931,856.065034866333,1
1,566,37,4.026560826271135,680.6716918945312,0
2,566,37,4.026560826271135,632.6289176940918,0
3,453,151,2.0,545.9303855895996,0
4,529,75,3.009586048829198,512.7785205841064,0
5,132,18,3.0588936890535683,586.2257480621338,0
6,340,113,2.0031882776310477,567.6403045654297,0
7,264,37,3.0241663111307524,517.2872543334961,1
8,132,18,3.0588936890535683,495.2507019042969,0
9,529,75,3.009586048829198,525.0694751739502,0
10,340,113,2.0031882776310477,442.72851943969727,0
11,66,9,3.0588936890535683,546.36549949646,1
12,340,113,2.0031882776310477,462.8121852874756,0
13,226,75,2.004800986263821,426.14078521728516,0
14,226,75,2.004800986263821,530.7490825653076,0
15,66,9,3.0588936890535683,532.3328971862793,1
16,132,18,3.0588936890535683,465.2245044708252,0
17,340,113,2.0031882776310477,565.7641887664795,0
18,66,9,3.0588936890535683,414.2487049102783,1
19,453,151,2.0,497.12467193603516,0
20,340,113,2.0031882776310477,429.3556213378906,0
21,283,18,4.0636946753173895,514.1422748565674,1
22,132,18,3.0588936890535683,509.8726749420166,0
23,226,75,2.004800986263821,466.7198657989502,0
24,566,37,4.026560826271135,683.9382648468018,1
25,283,18,4.0636946753173895,586.8716239929199,1
26,425,28,4.016012317988631,677.8867244720459,0
27,529,75,3.009586048829198,542.3502922058105,0
28,264,37,3.0241663111307524,894.5977687835693,0
29,453,151,2.0,631.0434341430664,0
30,132,18,3.0588936890535683,514.7590637207031,1
31,264,37,3.0241663111307524,495.4531192779541,1
32,264,37,3.0241663111307524,498.98433685302734,0
33,425,28,4.016012317988631,468.43791007995605,0
34,529,75,3.009586048829198,528.0709266662598,0
35,113,37,2.019365324866931,496.6554641723633,0
36,66,9,3.0588936890535683,488.1470203399658,1
37,425,28,4.016012317988631,596.1766242980957,1
38,453,151,2.0,464.3402099609375,0
39,66,9,3.0588936890535683,545.3784465789795,1
40,425,28,4.016012317988631,658.1377983093262,0
41,141,9,4.058893689053568,478.168249130249,1
42,566,37,4.026560826271135,634.4411373138428,0
43,113,37,2.019365324866931,694.3435668945312,1
44,264,37,3.0241663111307524,507.4312686920166,0
45,425,28,4.016012317988631,482.75136947631836,1
46,453,151,2.0,741.7192459106445,0
47,141,9,4.058893689053568,617.5963878631592,1
48,529,75,3.009586048829198,546.5161800384521,0
49,113,37,2.019365324866931,482.471227645874,0
50,226,75,2.004800986263821,564.7995471954346,0
51,141,9,4.058893689053568,550.8677959442139,1
52,113,37,2.019365324866931,565.1123523712158,1
53,141,9,4.058893689053568,547.2733974456787,1
54,226,75,2.004800986263821,570.8217620849609,0
55,566,37,4.026560826271135,724.6403694152832,0
56,141,9,4.058893689053568,552.1321296691895,0
57,283,18,4.0636946753173895,600.332498550415,0
58,283,18,4.0636946753173895,666.3050651550293,1
59,283,18,4.0636946753173895,525.4220962524414,0
